,path,Speaker,Emotion,Label
25,data\RAVDEES\Actor_01\03-01-04-02-01-02-01.wav,Men,sad,Men_sad
26,data\RAVDEES\Actor_01\03-01-04-02-02-01-01.wav,Men,sad,Men_sad
27,data\RAVDEES\Actor_01\03-01-04-02-02-02-01.wav,Men,sad,Men_sad
28,data\RAVDEES\Actor_01\03-01-05-01-01-01-01.wav,Men,angry,Men_angry
29,data\RAVDEES\Actor_01\03-01-05-01-01-02-01.wav,Men,angry,Men_angry
30,data\RAVDEES\Actor_01\03-01-05-01-02-01-01.wav,Men,angry,Men_angry
31,data\RAVDEES\Actor_01\03-01-05-01-02-02-01.wav,Men,angry,Men_angry
32,data\RAVDEES\Actor_01\03-01-05-02-01-01-01.wav,Men,angry,Men_angry
33,data\RAVDEES\Actor_01\03-01-05-02-01-02-01.wav,Men,angry,Men_angry
34,data\RAVDEES\Actor_01\03-01-05-02-02-01-01.wav,Men,angry,Men_angry
35,data\RAVDEES\Actor_01\03-01-05-02-02-02-01.wav,Men,angry,Men_angry
36,data\RAVDEES\Actor_01\03-01-06-01-01-01-01.wav,Men,fearful,Men_fearful
37,data\RAVDEES\Actor_01\03-01-06-01-01-02-01.wav,Men,fearful,Men_fearful
38,data\RAVDEES\Actor_01\03-01-06-01-02-01-01.wav,Men,fearful,Men_fearful
39,data\RAVDEES\Actor_01\03-01-06-01-02-02-01.wav,Men,fearful,Men_fearful
40,data\RAVDEES\Actor_01\03-01-06-02-01-01-01.wav,Men,fearful,Men_fearful
41,data\RAVDEES\Actor_01\03-01-06-02-01-02-01.wav,Men,fearful,Men_fearful
42,data\RAVDEES\Actor_01\03-01-06-02-02-01-01.wav,Men,fearful,Men_fearful
43,data\RAVDEES\Actor_01\03-01-06-02-02-02-01.wav,Men,fearful,Men_fearful
44,data\RAVDEES\Actor_01\03-01-07-01-01-01-01.wav,Men,disgust,Men_disgust
45,data\RAVDEES\Actor_01\03-01-07-01-01-02-01.wav,Men,disgust,Men_disgust
46,data\RAVDEES\Actor_01\03-01-07-01-02-01-01.wav,Men,disgust,Men_disgust
47,data\RAVDEES\Actor_01\03-01-07-01-02-02-01.wav,Men,disgust,Men_disgust
48,data\RAVDEES\Actor_01\03-01-07-02-01-01-01.wav,Men,disgust,Men_disgust
49,data\RAVDEES\Actor_01\03-01-07-02-01-02-01.wav,Men,disgust,Men_disgust
50,data\RAVDEES\Actor_01\03-01-07-02-02-01-01.wav,Men,disgust,Men_disgust
51,data\RAVDEES\Actor_01\03-01-07-02-02-02-01.wav,Men,disgust,Men_disgust
52,data\RAVDEES\Actor_01\03-01-08-01-01-01-01.wav,Men,surprised,Men_surprised
53,data\RAVDEES\Actor_01\03-01-08-01-01-02-01.wav,Men,surprised,Men_surprised
54,data\RAVDEES\Actor_01\03-01-08-01-02-01-01.wav,Men,surprised,Men_surprised
55,data\RAVDEES\Actor_01\03-01-08-01-02-02-01.wav,Men,surprised,Men_surprised
56,data\RAVDEES\Actor_01\03-01-08-02-01-01-01.wav,Men,surprised,Men_surprised
57,data\RAVDEES\Actor_01\03-01-08-02-01-02-01.wav,Men,surprised,Men_surprised
58,data\RAVDEES\Actor_01\03-01-08-02-02-01-01.wav,Men,surprised,Men_surprised
59,data\RAVDEES\Actor_01\03-01-08-02-02-02-01.wav,Men,surprised,Men_surprised
60,data\RAVDEES\Actor_02\03-01-01-01-01-01-02.wav,Women,neutral,Women_neutral
61,data\RAVDEES\Actor_02\03-01-01-01-01-02-02.wav,Women,neutral,Women_neutral
62,data\RAVDEES\Actor_02\03-01-01-01-02-01-02.wav,Women,neutral,Women_neutral
63,data\RAVDEES\Actor_02\03-01-01-01-02-02-02.wav,Women,neutral,Women_neutral
64,data\RAVDEES\Actor_02\03-01-02-01-01-01-02.wav,Women,calm,Women_calm
65,data\RAVDEES\Actor_02\03-01-02-01-01-02-02.wav,Women,calm,Women_calm
66,data\RAVDEES\Actor_02\03-01-02-01-02-01-02.wav,Women,calm,Women_calm
67,data\RAVDEES\Actor_02\03-01-02-01-02-02-02.wav,Women,calm,Women_calm
68,data\RAVDEES\Actor_02\03-01-02-02-01-01-02.wav,Women,calm,Women_calm
69,data\RAVDEES\Actor_02\03-01-02-02-01-02-02.wav,Women,calm,Women_calm
70,data\RAVDEES\Actor_02\03-01-02-02-02-01-02.wav,Women,calm,Women_calm
71,data\RAVDEES\Actor_02\03-01-02-02-02-02-02.wav,Women,calm,Women_calm
72,data\RAVDEES\Actor_02\03-01-03-01-01-01-02.wav,Women,happy,Women_happy
73,data\RAVDEES\Actor_02\03-01-03-01-01-02-02.wav,Women,happy,Women_happy
74,data\RAVDEES\Actor_02\03-01-03-01-02-01-02.wav,Women,happy,Women_happy
75,data\RAVDEES\Actor_02\03-01-03-01-02-02-02.wav,Women,happy,Women_happy
76,data\RAVDEES\Actor_02\03-01-03-02-01-01-02.wav,Women,happy,Women_happy
77,data\RAVDEES\Actor_02\03-01-03-02-01-02-02.wav,Women,happy,Women_happy
78,data\RAVDEES\Actor_02\03-01-03-02-02-01-02.wav,Women,happy,Women_happy
79,data\RAVDEES\Actor_02\03-01-03-02-02-02-02.wav,Women,happy,Women_happy
80,data\RAVDEES\Actor_02\03-01-04-01-01-01-02.wav,Women,sad,Women_sad
81,data\RAVDEES\Actor_02\03-01-04-01-01-02-02.wav,Women,sad,Women_sad
82,data\RAVDEES\Actor_02\03-01-04-01-02-01-02.wav,Women,sad,Women_sad
83,data\RAVDEES\Actor_02\03-01-04-01-02-02-02.wav,Women,sad,Women_sad
84,data\RAVDEES\Actor_02\03-01-04-02-01-01-02.wav,Women,sad,Women_sad
85,data\RAVDEES\Actor_02\03-01-04-02-01-02-02.wav,Women,sad,Women_sad
86,data\RAVDEES\Actor_02\03-01-04-02-02-01-02.wav,Women,sad,Women_sad
87,data\RAVDEES\Actor_02\03-01-04-02-02-02-02.wav,Women,sad,Women_sad
88,data\RAVDEES\Actor_02\03-01-05-01-01-01-02.wav,Women,angry,Women_angry
89,data\RAVDEES\Actor_02\03-01-05-01-01-02-02.wav,Women,angry,Women_angry
90,data\RAVDEES\Actor_02\03-01-05-01-02-01-02.wav,Women,angry,Women_angry
91,data\RAVDEES\Actor_02\03-01-05-01-02-02-02.wav,Women,angry,Women_angry
92,data\RAVDEES\Actor_02\03-01-05-02-01-01-02.wav,Women,angry,Women_angry
93,data\RAVDEES\Actor_02\03-01-05-02-01-02-02.wav,Women,angry,Women_angry
94,data\RAVDEES\Actor_02\03-01-05-02-02-01-02.wav,Women,angry,Women_angry
95,data\RAVDEES\Actor_02\03-01-05-02-02-02-02.wav,Women,angry,Women_angry
96,data\RAVDEES\Actor_02\03-01-06-01-01-01-02.wav,Women,fearful,Women_fearful
97,data\RAVDEES\Actor_02\03-01-06-01-01-02-02.wav,Women,fearful,Women_fearful
98,data\RAVDEES\Actor_02\03-01-06-01-02-01-02.wav,Women,fearful,Women_fearful
99,data\RAVDEES\Actor_02\03-01-06-01-02-02-02.wav,Women,fearful,Women_fearful
100,data\RAVDEES\Actor_02\03-01-06-02-01-01-02.wav,Women,fearful,Women_fearful
101,data\RAVDEES\Actor_02\03-01-06-02-01-02-02.wav,Women,fearful,Women_fearful
102,data\RAVDEES\Actor_02\03-01-06-02-02-01-02.wav,Women,fearful,Women_fearful
103,data\RAVDEES\Actor_02\03-01-06-02-02-02-02.wav,Women,fearful,Women_fearful
104,data\RAVDEES\Actor_02\03-01-07-01-01-01-02.wav,Women,disgust,Women_disgust
105,data\RAVDEES\Actor_02\03-01-07-01-01-02-02.wav,Women,disgust,Women_disgust
106,data\RAVDEES\Actor_02\03-01-07-01-02-01-02.wav,Women,disgust,Women_disgust
107,data\RAVDEES\Actor_02\03-01-07-01-02-02-02.wav,Women,disgust,Women_disgust
108,data\RAVDEES\Actor_02\03-01-07-02-01-01-02.wav,Women,disgust,Women_disgust
109,data\RAVDEES\Actor_02\03-01-07-02-01-02-02.wav,Women,disgust,Women_disgust
110,data\RAVDEES\Actor_02\03-01-07-02-02-01-02.wav,Women,disgust,Women_disgust
111,data\RAVDEES\Actor_02\03-01-07-02-02-02-02.wav,Women,disgust,Women_disgust
112,data\RAVDEES\Actor_02\03-01-08-01-01-01-02.wav,Women,surprised,Women_surprised
113,data\RAVDEES\Actor_02\03-01-08-01-01-02-02.wav,Women,surprised,Women_surprised
114,data\RAVDEES\Actor_02\03-01-08-01-02-01-02.wav,Women,surprised,Women_surprised
115,data\RAVDEES\Actor_02\03-01-08-01-02-02-02.wav,Women,surprised,Women_surprised
116,data\RAVDEES\Actor_02\03-01-08-02-01-01-02.wav,Women,surprised,Women_surprised
117,data\RAVDEES\Actor_02\03-01-08-02-01-02-02.wav,Women,surprised,Women_surprised
118,data\RAVDEES\Actor_02\03-01-08-02-02-01-02.wav,Women,surprised,Women_surprised
119,data\RAVDEES\Actor_02\03-01-08-02-02-02-02.wav,Women,surprised,Women_surprised
120,data\RAVDEES\Actor_03\03-01-01-01-01-01-03.wav,Men,neutral,Men_neutral
121,data\RAVDEES\Actor_03\03-01-01-01-01-02-03.wav,Men,neutral,Men_neutral
122,data\RAVDEES\Actor_03\03-01-01-01-02-01-03.wav,Men,neutral,Men_neutral
123,data\RAVDEES\Actor_03\03-01-01-01-02-02-03.wav,Men,neutral,Men_neutral
124,data\RAVDEES\Actor_03\03-01-02-01-01-01-03.wav,Men,calm,Men_calm
125,data\RAVDEES\Actor_03\03-01-02-01-01-02-03.wav,Men,calm,Men_calm
126,data\RAVDEES\Actor_03\03-01-02-01-02-01-03.wav,Men,calm,Men_calm
127,data\RAVDEES\Actor_03\03-01-02-01-02-02-03.wav,Men,calm,Men_calm
128,data\RAVDEES\Actor_03\03-01-02-02-01-01-03.wav,Men,calm,Men_calm
129,data\RAVDEES\Actor_03\03-01-02-02-01-02-03.wav,Men,calm,Men_calm
130,data\RAVDEES\Actor_03\03-01-02-02-02-01-03.wav,Men,calm,Men_calm
131,data\RAVDEES\Actor_03\03-01-02-02-02-02-03.wav,Men,calm,Men_calm
132,data\RAVDEES\Actor_03\03-01-03-01-01-01-03.wav,Men,happy,Men_happy
133,data\RAVDEES\Actor_03\03-01-03-01-01-02-03.wav,Men,happy,Men_happy
134,data\RAVDEES\Actor_03\03-01-03-01-02-01-03.wav,Men,happy,Men_happy
135,data\RAVDEES\Actor_03\03-01-03-01-02-02-03.wav,Men,happy,Men_happy
136,data\RAVDEES\Actor_03\03-01-03-02-01-01-03.wav,Men,happy,Men_happy
137,data\RAVDEES\Actor_03\03-01-03-02-01-02-03.wav,Men,happy,Men_happy
138,data\RAVDEES\Actor_03\03-01-03-02-02-01-03.wav,Men,happy,Men_happy
139,data\RAVDEES\Actor_03\03-01-03-02-02-02-03.wav,Men,happy,Men_happy
140,data\RAVDEES\Actor_03\03-01-04-01-01-01-03.wav,Men,sad,Men_sad
141,data\RAVDEES\Actor_03\03-01-04-01-01-02-03.wav,Men,sad,Men_sad
142,data\RAVDEES\Actor_03\03-01-04-01-02-01-03.wav,Men,sad,Men_sad
143,data\RAVDEES\Actor_03\03-01-04-01-02-02-03.wav,Men,sad,Men_sad
144,data\RAVDEES\Actor_03\03-01-04-02-01-01-03.wav,Men,sad,Men_sad
145,data\RAVDEES\Actor_03\03-01-04-02-01-02-03.wav,Men,sad,Men_sad
146,data\RAVDEES\Actor_03\03-01-04-02-02-01-03.wav,Men,sad,Men_sad
147,data\RAVDEES\Actor_03\03-01-04-02-02-02-03.wav,Men,sad,Men_sad
148,data\RAVDEES\Actor_03\03-01-05-01-01-01-03.wav,Men,angry,Men_angry
149,data\RAVDEES\Actor_03\03-01-05-01-01-02-03.wav,Men,angry,Men_angry
150,data\RAVDEES\Actor_03\03-01-05-01-02-01-03.wav,Men,angry,Men_angry
151,data\RAVDEES\Actor_03\03-01-05-01-02-02-03.wav,Men,angry,Men_angry
152,data\RAVDEES\Actor_03\03-01-05-02-01-01-03.wav,Men,angry,Men_angry
153,data\RAVDEES\Actor_03\03-01-05-02-01-02-03.wav,Men,angry,Men_angry
154,data\RAVDEES\Actor_03\03-01-05-02-02-01-03.wav,Men,angry,Men_angry
155,data\RAVDEES\Actor_03\03-01-05-02-02-02-03.wav,Men,angry,Men_angry
156,data\RAVDEES\Actor_03\03-01-06-01-01-01-03.wav,Men,fearful,Men_fearful
157,data\RAVDEES\Actor_03\03-01-06-01-01-02-03.wav,Men,fearful,Men_fearful
158,data\RAVDEES\Actor_03\03-01-06-01-02-01-03.wav,Men,fearful,Men_fearful
159,data\RAVDEES\Actor_03\03-01-06-01-02-02-03.wav,Men,fearful,Men_fearful
160,data\RAVDEES\Actor_03\03-01-06-02-01-01-03.wav,Men,fearful,Men_fearful
161,data\RAVDEES\Actor_03\03-01-06-02-01-02-03.wav,Men,fearful,Men_fearful
162,data\RAVDEES\Actor_03\03-01-06-02-02-01-03.wav,Men,fearful,Men_fearful
163,data\RAVDEES\Actor_03\03-01-06-02-02-02-03.wav,Men,fearful,Men_fearful
164,data\RAVDEES\Actor_03\03-01-07-01-01-01-03.wav,Men,disgust,Men_disgust
165,data\RAVDEES\Actor_03\03-01-07-01-01-02-03.wav,Men,disgust,Men_disgust
166,data\RAVDEES\Actor_03\03-01-07-01-02-01-03.wav,Men,disgust,Men_disgust
167,data\RAVDEES\Actor_03\03-01-07-01-02-02-03.wav,Men,disgust,Men_disgust
168,data\RAVDEES\Actor_03\03-01-07-02-01-01-03.wav,Men,disgust,Men_disgust
169,data\RAVDEES\Actor_03\03-01-07-02-01-02-03.wav,Men,disgust,Men_disgust
170,data\RAVDEES\Actor_03\03-01-07-02-02-01-03.wav,Men,disgust,Men_disgust
171,data\RAVDEES\Actor_03\03-01-07-02-02-02-03.wav,Men,disgust,Men_disgust
172,data\RAVDEES\Actor_03\03-01-08-01-01-01-03.wav,Men,surprised,Men_surprised
173,data\RAVDEES\Actor_03\03-01-08-01-01-02-03.wav,Men,surprised,Men_surprised
174,data\RAVDEES\Actor_03\03-01-08-01-02-01-03.wav,Men,surprised,Men_surprised
175,data\RAVDEES\Actor_03\03-01-08-01-02-02-03.wav,Men,surprised,Men_surprised
176,data\RAVDEES\Actor_03\03-01-08-02-01-01-03.wav,Men,surprised,Men_surprised
177,data\RAVDEES\Actor_03\03-01-08-02-01-02-03.wav,Men,surprised,Men_surprised
178,data\RAVDEES\Actor_03\03-01-08-02-02-01-03.wav,Men,surprised,Men_surprised
179,data\RAVDEES\Actor_03\03-01-08-02-02-02-03.wav,Men,surprised,Men_surprised
180,data\RAVDEES\Actor_04\03-01-01-01-01-01-04.wav,Women,neutral,Women_neutral
181,data\RAVDEES\Actor_04\03-01-01-01-01-02-04.wav,Women,neutral,Women_neutral
182,data\RAVDEES\Actor_04\03-01-01-01-02-01-04.wav,Women,neutral,Women_neutral
183,data\RAVDEES\Actor_04\03-01-01-01-02-02-04.wav,Women,neutral,Women_neutral
184,data\RAVDEES\Actor_04\03-01-02-01-01-01-04.wav,Women,calm,Women_calm
185,data\RAVDEES\Actor_04\03-01-02-01-01-02-04.wav,Women,calm,Women_calm
186,data\RAVDEES\Actor_04\03-01-02-01-02-01-04.wav,Women,calm,Women_calm
187,data\RAVDEES\Actor_04\03-01-02-01-02-02-04.wav,Women,calm,Women_calm
188,data\RAVDEES\Actor_04\03-01-02-02-01-01-04.wav,Women,calm,Women_calm
189,data\RAVDEES\Actor_04\03-01-02-02-01-02-04.wav,Women,calm,Women_calm
190,data\RAVDEES\Actor_04\03-01-02-02-02-01-04.wav,Women,calm,Women_calm
191,data\RAVDEES\Actor_04\03-01-02-02-02-02-04.wav,Women,calm,Women_calm
192,data\RAVDEES\Actor_04\03-01-03-01-01-01-04.wav,Women,happy,Women_happy
193,data\RAVDEES\Actor_04\03-01-03-01-01-02-04.wav,Women,happy,Women_happy
194,data\RAVDEES\Actor_04\03-01-03-01-02-01-04.wav,Women,happy,Women_happy
195,data\RAVDEES\Actor_04\03-01-03-01-02-02-04.wav,Women,happy,Women_happy
196,data\RAVDEES\Actor_04\03-01-03-02-01-01-04.wav,Women,happy,Women_happy
197,data\RAVDEES\Actor_04\03-01-03-02-01-02-04.wav,Women,happy,Women_happy
198,data\RAVDEES\Actor_04\03-01-03-02-02-01-04.wav,Women,happy,Women_happy
199,data\RAVDEES\Actor_04\03-01-03-02-02-02-04.wav,Women,happy,Women_happy
200,data\RAVDEES\Actor_04\03-01-04-01-01-01-04.wav,Women,sad,Women_sad
201,data\RAVDEES\Actor_04\03-01-04-01-01-02-04.wav,Women,sad,Women_sad
202,data\RAVDEES\Actor_04\03-01-04-01-02-01-04.wav,Women,sad,Women_sad
203,data\RAVDEES\Actor_04\03-01-04-01-02-02-04.wav,Women,sad,Women_sad
204,data\RAVDEES\Actor_04\03-01-04-02-01-01-04.wav,Women,sad,Women_sad
205,data\RAVDEES\Actor_04\03-01-04-02-01-02-04.wav,Women,sad,Women_sad
206,data\RAVDEES\Actor_04\03-01-04-02-02-01-04.wav,Women,sad,Women_sad
207,data\RAVDEES\Actor_04\03-01-04-02-02-02-04.wav,Women,sad,Women_sad
208,data\RAVDEES\Actor_04\03-01-05-01-01-01-04.wav,Women,angry,Women_angry
209,data\RAVDEES\Actor_04\03-01-05-01-01-02-04.wav,Women,angry,Women_angry
210,data\RAVDEES\Actor_04\03-01-05-01-02-01-04.wav,Women,angry,Women_angry
211,data\RAVDEES\Actor_04\03-01-05-01-02-02-04.wav,Women,angry,Women_angry
212,data\RAVDEES\Actor_04\03-01-05-02-01-01-04.wav,Women,angry,Women_angry
213,data\RAVDEES\Actor_04\03-01-05-02-01-02-04.wav,Women,angry,Women_angry
214,data\RAVDEES\Actor_04\03-01-05-02-02-01-04.wav,Women,angry,Women_angry
215,data\RAVDEES\Actor_04\03-01-05-02-02-02-04.wav,Women,angry,Women_angry
216,data\RAVDEES\Actor_04\03-01-06-01-01-01-04.wav,Women,fearful,Women_fearful
217,data\RAVDEES\Actor_04\03-01-06-01-01-02-04.wav,Women,fearful,Women_fearful
218,data\RAVDEES\Actor_04\03-01-06-01-02-01-04.wav,Women,fearful,Women_fearful
219,data\RAVDEES\Actor_04\03-01-06-01-02-02-04.wav,Women,fearful,Women_fearful
220,data\RAVDEES\Actor_04\03-01-06-02-01-01-04.wav,Women,fearful,Women_fearful
221,data\RAVDEES\Actor_04\03-01-06-02-01-02-04.wav,Women,fearful,Women_fearful
222,data\RAVDEES\Actor_04\03-01-06-02-02-01-04.wav,Women,fearful,Women_fearful
223,data\RAVDEES\Actor_04\03-01-06-02-02-02-04.wav,Women,fearful,Women_fearful
224,data\RAVDEES\Actor_04\03-01-07-01-01-01-04.wav,Women,disgust,Women_disgust
225,data\RAVDEES\Actor_04\03-01-07-01-01-02-04.wav,Women,disgust,Women_disgust
226,data\RAVDEES\Actor_04\03-01-07-01-02-01-04.wav,Women,disgust,Women_disgust
227,data\RAVDEES\Actor_04\03-01-07-01-02-02-04.wav,Women,disgust,Women_disgust
228,data\RAVDEES\Actor_04\03-01-07-02-01-01-04.wav,Women,disgust,Women_disgust
229,data\RAVDEES\Actor_04\03-01-07-02-01-02-04.wav,Women,disgust,Women_disgust
230,data\RAVDEES\Actor_04\03-01-07-02-02-01-04.wav,Women,disgust,Women_disgust
231,data\RAVDEES\Actor_04\03-01-07-02-02-02-04.wav,Women,disgust,Women_disgust
232,data\RAVDEES\Actor_04\03-01-08-01-01-01-04.wav,Women,surprised,Women_surprised
233,data\RAVDEES\Actor_04\03-01-08-01-01-02-04.wav,Women,surprised,Women_surprised
234,data\RAVDEES\Actor_04\03-01-08-01-02-01-04.wav,Women,surprised,Women_surprised
235,data\RAVDEES\Actor_04\03-01-08-01-02-02-04.wav,Women,surprised,Women_surprised
236,data\RAVDEES\Actor_04\03-01-08-02-01-01-04.wav,Women,surprised,Women_surprised
237,data\RAVDEES\Actor_04\03-01-08-02-01-02-04.wav,Women,surprised,Women_surprised
238,data\RAVDEES\Actor_04\03-01-08-02-02-01-04.wav,Women,surprised,Women_surprised
239,data\RAVDEES\Actor_04\03-01-08-02-02-02-04.wav,Women,surprised,Women_surprised
240,data\RAVDEES\Actor_05\03-01-01-01-01-01-05.wav,Men,neutral,Men_neutral
241,data\RAVDEES\Actor_05\03-01-01-01-01-02-05.wav,Men,neutral,Men_neutral
242,data\RAVDEES\Actor_05\03-01-01-01-02-01-05.wav,Men,neutral,Men_neutral
243,data\RAVDEES\Actor_05\03-01-01-01-02-02-05.wav,Men,neutral,Men_neutral
244,data\RAVDEES\Actor_05\03-01-02-01-01-01-05.wav,Men,calm,Men_calm
245,data\RAVDEES\Actor_05\03-01-02-01-01-02-05.wav,Men,calm,Men_calm
246,data\RAVDEES\Actor_05\03-01-02-01-02-01-05.wav,Men,calm,Men_calm
247,data\RAVDEES\Actor_05\03-01-02-01-02-02-05.wav,Men,calm,Men_calm
248,data\RAVDEES\Actor_05\03-01-02-02-01-01-05.wav,Men,calm,Men_calm
249,data\RAVDEES\Actor_05\03-01-02-02-01-02-05.wav,Men,calm,Men_calm
250,data\RAVDEES\Actor_05\03-01-02-02-02-01-05.wav,Men,calm,Men_calm
251,data\RAVDEES\Actor_05\03-01-02-02-02-02-05.wav,Men,calm,Men_calm
252,data\RAVDEES\Actor_05\03-01-03-01-01-01-05.wav,Men,happy,Men_happy
253,data\RAVDEES\Actor_05\03-01-03-01-01-02-05.wav,Men,happy,Men_happy
254,data\RAVDEES\Actor_05\03-01-03-01-02-01-05.wav,Men,happy,Men_happy
255,data\RAVDEES\Actor_05\03-01-03-01-02-02-05.wav,Men,happy,Men_happy
256,data\RAVDEES\Actor_05\03-01-03-02-01-01-05.wav,Men,happy,Men_happy
257,data\RAVDEES\Actor_05\03-01-03-02-01-02-05.wav,Men,happy,Men_happy
258,data\RAVDEES\Actor_05\03-01-03-02-02-01-05.wav,Men,happy,Men_happy
259,data\RAVDEES\Actor_05\03-01-03-02-02-02-05.wav,Men,happy,Men_happy
260,data\RAVDEES\Actor_05\03-01-04-01-01-01-05.wav,Men,sad,Men_sad
261,data\RAVDEES\Actor_05\03-01-04-01-01-02-05.wav,Men,sad,Men_sad
262,data\RAVDEES\Actor_05\03-01-04-01-02-01-05.wav,Men,sad,Men_sad
263,data\RAVDEES\Actor_05\03-01-04-01-02-02-05.wav,Men,sad,Men_sad
264,data\RAVDEES\Actor_05\03-01-04-02-01-01-05.wav,Men,sad,Men_sad
265,data\RAVDEES\Actor_05\03-01-04-02-01-02-05.wav,Men,sad,Men_sad
266,data\RAVDEES\Actor_05\03-01-04-02-02-01-05.wav,Men,sad,Men_sad
267,data\RAVDEES\Actor_05\03-01-04-02-02-02-05.wav,Men,sad,Men_sad
268,data\RAVDEES\Actor_05\03-01-05-01-01-01-05.wav,Men,angry,Men_angry
269,data\RAVDEES\Actor_05\03-01-05-01-01-02-05.wav,Men,angry,Men_angry
270,data\RAVDEES\Actor_05\03-01-05-01-02-01-05.wav,Men,angry,Men_angry
271,data\RAVDEES\Actor_05\03-01-05-01-02-02-05.wav,Men,angry,Men_angry
272,data\RAVDEES\Actor_05\03-01-05-02-01-01-05.wav,Men,angry,Men_angry
273,data\RAVDEES\Actor_05\03-01-05-02-01-02-05.wav,Men,angry,Men_angry
274,data\RAVDEES\Actor_05\03-01-05-02-02-01-05.wav,Men,angry,Men_angry
275,data\RAVDEES\Actor_05\03-01-05-02-02-02-05.wav,Men,angry,Men_angry
276,data\RAVDEES\Actor_05\03-01-06-01-01-01-05.wav,Men,fearful,Men_fearful
277,data\RAVDEES\Actor_05\03-01-06-01-01-02-05.wav,Men,fearful,Men_fearful
278,data\RAVDEES\Actor_05\03-01-06-01-02-01-05.wav,Men,fearful,Men_fearful
279,data\RAVDEES\Actor_05\03-01-06-01-02-02-05.wav,Men,fearful,Men_fearful
280,data\RAVDEES\Actor_05\03-01-06-02-01-01-05.wav,Men,fearful,Men_fearful
281,data\RAVDEES\Actor_05\03-01-06-02-01-02-05.wav,Men,fearful,Men_fearful
282,data\RAVDEES\Actor_05\03-01-06-02-02-01-05.wav,Men,fearful,Men_fearful
283,data\RAVDEES\Actor_05\03-01-06-02-02-02-05.wav,Men,fearful,Men_fearful
284,data\RAVDEES\Actor_05\03-01-07-01-01-01-05.wav,Men,disgust,Men_disgust
285,data\RAVDEES\Actor_05\03-01-07-01-01-02-05.wav,Men,disgust,Men_disgust
286,data\RAVDEES\Actor_05\03-01-07-01-02-01-05.wav,Men,disgust,Men_disgust
287,data\RAVDEES\Actor_05\03-01-07-01-02-02-05.wav,Men,disgust,Men_disgust
288,data\RAVDEES\Actor_05\03-01-07-02-01-01-05.wav,Men,disgust,Men_disgust
289,data\RAVDEES\Actor_05\03-01-07-02-01-02-05.wav,Men,disgust,Men_disgust
290,data\RAVDEES\Actor_05\03-01-07-02-02-01-05.wav,Men,disgust,Men_disgust
291,data\RAVDEES\Actor_05\03-01-07-02-02-02-05.wav,Men,disgust,Men_disgust
292,data\RAVDEES\Actor_05\03-01-08-01-01-01-05.wav,Men,surprised,Men_surprised
293,data\RAVDEES\Actor_05\03-01-08-01-01-02-05.wav,Men,surprised,Men_surprised
294,data\RAVDEES\Actor_05\03-01-08-01-02-01-05.wav,Men,surprised,Men_surprised
295,data\RAVDEES\Actor_05\03-01-08-01-02-02-05.wav,Men,surprised,Men_surprised
296,data\RAVDEES\Actor_05\03-01-08-02-01-01-05.wav,Men,surprised,Men_surprised
